names	Run1_C_5	Run1_C_7	Run1_C_10	Run1_C_13	Run1_C_14	Run1_C_15	Run1_C_16	Run1_C_18	Run1_C_19	Run1_C_20	Run1_C_21	root
LOC_1	19	19	19	20	19	19	20	20	20	20	20	19
LOC_2	20	20	20	20	20	20	20	19	20	20	20	20
LOC_3	7	7	7	7	7	7	7	7	7	7	7	7
LOC_4	7	7	9	9	9	9	8	8	8	9	8	7
LOC_5	8	7	7	8	7	7	11	8	8	8	8	7
LOC_6	16	16	16	16	16	17	16	17	16	16	16	16
LOC_7	13	13	13	13	13	13	13	13	13	13	12	13
LOC_8	24	23	22	22	22	20	22	22	22	22	21	22
LOC_9	15	15	15	15	15	15	15	15	15	15	15	15
LOC_10	17	17	17	17	17	17	17	15	17	17	17	17
LOC_11	22	22	23	23	23	24	22	23	22	22	20	23
LOC_12	17	17	17	17	18	17	16	17	17	18	20	17
LOC_13	17	18	18	17	18	18	17	17	17	18	19	17
LOC_14	18	18	18	18	18	18	18	18	18	20	20	18
LOC_15	26	26	25	27	25	25	23	25	27	28	27	27
LOC_16	14	14	14	15	14	15	14	15	15	13	13	14
